                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2118,                0.70552,                0.91727,                0.58812,                0.48119,                0.50492,                0.27352,                 1.4961,                0.86243,                0.94195,              0.0004085,              0.0004085,              0.0004085
                     36,                 1.2156,                0.70473,                0.91643,                0.59752,                0.50131,                0.58308,                0.34634,                 1.5171,                 0.8593,                0.94324,             0.00038375,             0.00038375,             0.00038375
                     37,                  1.208,                0.69988,                0.91262,                0.59065,                0.52819,                0.51052,                0.30372,                 1.4922,                0.88112,                0.95523,               0.000359,               0.000359,               0.000359
                     38,                 1.1837,                0.68866,                 0.9161,                0.52975,                0.63268,                 0.5271,                 0.3053,                 1.4876,                 0.8528,                0.94743,             0.00033425,             0.00033425,             0.00033425
                     39,                 1.2052,                0.68731,                0.90749,                0.50536,                0.51306,                0.50393,                0.29826,                 1.4746,                0.84953,                0.94019,              0.0003095,              0.0003095,              0.0003095
                     40,                 1.1826,                0.67258,                0.90446,                0.58171,                0.56765,                0.57471,                0.30559,                 1.4905,                0.85772,                0.94564,             0.00028475,             0.00028475,             0.00028475
                     41,                 1.1734,                0.66727,                0.90219,                0.61835,                0.55622,                0.49691,                0.28925,                 1.4981,                0.86689,                0.94957,                0.00026,                0.00026,                0.00026
                     42,                 1.1572,                0.64683,                0.89631,                0.57606,                0.59841,                0.60628,                0.30921,                 1.5233,                0.86585,                0.96935,             0.00023525,             0.00023525,             0.00023525
                     43,                 1.1544,                0.64134,                0.90071,                0.56552,                0.59882,                0.62312,                0.34226,                 1.4887,                0.84238,                0.93878,              0.0002105,              0.0002105,              0.0002105
                     44,                 1.1332,                0.63266,                 0.8977,                0.65434,                0.56361,                0.66889,                 0.3739,                 1.5105,                0.84191,                0.94466,             0.00018575,             0.00018575,             0.00018575
                     45,                 1.1421,                0.63712,                0.89568,                0.55963,                0.61906,                0.60313,                0.34204,                 1.4786,                0.84032,                0.94413,               0.000161,               0.000161,               0.000161
                     46,                 1.1382,                0.62544,                0.89293,                0.66403,                 0.6357,                0.64279,                0.38116,                 1.4658,                 0.8249,                0.93317,             0.00013625,             0.00013625,             0.00013625
                     47,                 1.1154,                0.61519,                0.89014,                0.70157,                0.53625,                0.59014,                0.34468,                 1.4808,                0.83387,                0.93702,              0.0001115,              0.0001115,              0.0001115
                     48,                 1.1101,                0.61203,                 0.8869,                0.71057,                0.59964,                0.66675,                0.37922,                 1.4746,                0.82354,                 0.9441,              8.675e-05,              8.675e-05,              8.675e-05
                     49,                 1.0995,                0.60793,                0.88948,                 0.7214,                0.58737,                0.68849,                0.39664,                 1.4794,                0.81182,                0.93697,                6.2e-05,                6.2e-05,                6.2e-05
                     50,                 1.0997,                0.60308,                0.88676,                0.69427,                0.58657,                0.66488,                0.38585,                 1.4781,                 0.8138,                0.93896,              3.725e-05,              3.725e-05,              3.725e-05
